  QueueTimes | ServiceTimes | SojournTimes
       0.071 |        0.044 |        0.115
       0.296 |        0.066 |        0.362
       0.055 |        0.042 |        0.096
       0.055 |        0.045 |        0.101
       0.057 |        0.041 |        0.098
       0.058 |        0.041 |        0.100
       0.055 |        0.037 |        0.093
       0.071 |        0.050 |        0.121
       0.059 |        0.061 |        0.120
       0.061 |        0.069 |        0.129
       0.073 |        0.056 |        0.129
       0.057 |        0.046 |        0.104
       0.057 |        0.037 |        0.094
       0.067 |        0.049 |        0.116
       0.056 |        0.045 |        0.100
       0.055 |        0.043 |        0.099
       0.068 |        0.041 |        0.109
       0.057 |        0.048 |        0.105
       0.056 |        0.038 |        0.094
       0.056 |        0.041 |        0.097
       0.086 |        0.049 |        0.134
       0.057 |        0.045 |        0.102
       0.073 |        0.048 |        0.121
       0.055 |        0.053 |        0.108
       0.054 |        0.181 |        0.235
       0.054 |        0.043 |        0.098
       0.055 |        0.045 |        0.100
       0.055 |        0.048 |        0.103
       0.077 |        0.037 |        0.114
       0.055 |        0.051 |        0.106
       0.055 |        0.036 |        0.091
       0.055 |        0.042 |        0.097
       0.056 |        0.051 |        0.106
       0.057 |        0.041 |        0.097
       0.054 |        0.055 |        0.109
       0.085 |        0.036 |        0.121
       0.056 |        0.051 |        0.108
       0.057 |        0.048 |        0.105
       0.072 |        0.048 |        0.120
       0.056 |        0.051 |        0.107
       0.056 |        0.047 |        0.104
       0.056 |        0.041 |        0.097
       0.072 |        0.042 |        0.113
       0.055 |        0.039 |        0.095
       0.056 |        0.051 |        0.107
       0.056 |        0.213 |        0.270
       0.057 |        0.041 |        0.097
       0.072 |        0.061 |        0.133
       0.055 |        0.035 |        0.090
       0.056 |        0.061 |        0.117
       0.056 |        0.038 |        0.094
       0.055 |        0.070 |        0.126
       0.057 |        0.139 |        0.196
       0.057 |        0.041 |        0.098
       0.055 |        0.044 |        0.099
       0.056 |        0.249 |        0.305
       0.057 |        0.037 |        0.094
       0.055 |        0.053 |        0.108
       0.055 |        0.042 |        0.097
       0.072 |        0.046 |        0.118
       0.072 |        0.050 |        0.122
       0.072 |        0.057 |        0.128
       0.057 |        0.044 |        0.101
       0.236 |        0.060 |        0.296
       0.057 |        0.040 |        0.097
       0.056 |        0.043 |        0.099
       0.055 |        0.035 |        0.090
       0.057 |        0.044 |        0.101
       0.054 |        0.042 |        0.096
       0.056 |        0.062 |        0.118
       0.055 |        0.033 |        0.088
       0.057 |        0.038 |        0.095
       0.056 |        0.035 |        0.090
       0.056 |        0.046 |        0.103
       0.056 |        0.035 |        0.091
       0.056 |        0.054 |        0.110
       0.072 |        0.041 |        0.113
       0.075 |        0.068 |        0.143
       0.072 |        0.057 |        0.128
       0.072 |        0.046 |        0.118
       0.072 |        0.041 |        0.113
       0.072 |        0.069 |        0.141
       0.057 |        0.037 |        0.094
       0.240 |        0.056 |        0.296
       0.094 |        0.054 |        0.148
       0.072 |        0.100 |        0.172
       0.103 |        0.054 |        0.157
       0.124 |        0.045 |        0.169
       0.056 |        0.055 |        0.111
       0.079 |        0.257 |        0.335
       0.055 |        0.042 |        0.097
       0.055 |        0.224 |        0.279
       0.088 |        0.046 |        0.134
       0.056 |        0.038 |        0.094
       0.054 |        0.037 |        0.091
       0.056 |        0.037 |        0.093
       0.056 |        0.047 |        0.103
       0.072 |        0.046 |        0.118
       0.056 |        0.032 |        0.088
       0.055 |        0.044 |        0.099
       0.111 |        0.033 |        0.144
       0.056 |        0.036 |        0.092
       0.056 |        0.040 |        0.096
       0.055 |        0.046 |        0.101
       0.056 |        0.032 |        0.088
       0.055 |        0.050 |        0.105
       0.055 |        0.055 |        0.111
       0.058 |        0.043 |        0.101
       0.072 |        0.050 |        0.122
       0.094 |        0.047 |        0.141
       0.014 |        0.047 |        0.060
       0.073 |        0.073 |        0.146
       0.096 |        0.054 |        0.150
       0.056 |        0.046 |        0.103
       0.056 |        0.038 |        0.094
       0.055 |        0.050 |        0.105
       0.071 |        0.043 |        0.114
       0.076 |        0.046 |        0.122
       0.057 |        0.050 |        0.107
       0.128 |        0.058 |        0.186
       0.110 |        0.034 |        0.144
       0.057 |        0.059 |        0.116
       0.056 |        0.048 |        0.103
       0.056 |        0.049 |        0.105
       0.071 |        0.091 |        0.163
       0.056 |        0.046 |        0.102
       0.055 |        0.043 |        0.098
       0.071 |        0.058 |        0.129
       0.056 |        0.041 |        0.097
       0.074 |        0.059 |        0.133
       0.073 |        0.092 |        0.165
       0.121 |        0.049 |        0.170
       0.144 |        0.054 |        0.199
       0.057 |        0.044 |        0.101
       0.058 |        0.040 |        0.097
       0.056 |        0.046 |        0.101
       0.056 |        0.038 |        0.093
       0.056 |        0.038 |        0.094
       0.056 |        0.041 |        0.097
       0.055 |        0.050 |        0.105
       0.072 |        0.057 |        0.129
       0.056 |        0.033 |        0.088
       0.072 |        0.055 |        0.127
       0.071 |        0.050 |        0.120
       0.081 |        0.045 |        0.126
       0.057 |        0.036 |        0.093
       0.072 |        0.046 |        0.118
       0.089 |        0.048 |        0.136
       0.072 |        0.051 |        0.122
       0.074 |        0.058 |        0.132
       0.098 |        0.065 |        0.164
       0.057 |        0.042 |        0.099
       0.055 |        0.035 |        0.090
       0.072 |        0.321 |        0.393
       0.054 |        0.036 |        0.091
       0.055 |        0.516 |        0.571
       0.056 |        0.055 |        0.111
       0.056 |        0.281 |        0.338
       0.079 |        0.038 |        0.117
       0.055 |        0.044 |        0.098
       0.082 |        0.057 |        0.139
       0.082 |        0.051 |        0.133
       0.055 |        0.045 |        0.100
       0.054 |        0.056 |        0.110
       0.093 |        0.047 |        0.140
       0.073 |        0.051 |        0.124
       0.055 |        0.054 |        0.110
       0.071 |        0.059 |        0.130
       0.073 |        0.058 |        0.131
       0.057 |        0.035 |        0.092
       0.055 |        0.034 |        0.089
       0.056 |        0.038 |        0.094
       0.054 |        0.048 |        0.102
       0.110 |        0.036 |        0.145
       0.054 |        0.044 |        0.098
       0.054 |        0.055 |        0.109
       0.055 |        0.050 |        0.105
       0.075 |        0.042 |        0.117
       0.056 |        0.040 |        0.095
       0.071 |        0.045 |        0.117
       0.070 |        0.046 |        0.116
       0.074 |        0.059 |        0.132
       0.055 |        0.037 |        0.092
       0.074 |        0.059 |        0.133
       0.073 |        0.055 |        0.129
       0.072 |        0.062 |        0.134
       0.071 |        0.051 |        0.122
       0.055 |        0.039 |        0.094
       0.081 |        0.051 |        0.132
       0.056 |        0.040 |        0.096
       0.055 |        0.043 |        0.099
       0.055 |        0.053 |        0.107
       0.056 |        0.044 |        0.100
       0.056 |        0.048 |        0.104
       0.056 |        0.055 |        0.111
       0.056 |        0.042 |        0.098
       0.055 |        0.053 |        0.108
       0.056 |        0.048 |        0.104
       0.071 |        0.050 |        0.121
       0.073 |        0.046 |        0.119
       0.071 |        0.057 |        0.128
       0.071 |        0.051 |        0.123
       0.072 |        0.042 |        0.114
       0.057 |        0.042 |        0.099
       0.056 |        0.037 |        0.093
       0.056 |        0.044 |        0.099
       0.056 |        0.048 |        0.104
       0.056 |        0.050 |        0.107
       0.056 |        0.046 |        0.102
       0.055 |        0.035 |        0.091
       0.074 |        0.048 |        0.122
       0.072 |        0.049 |        0.121
       0.071 |        0.058 |        0.129
       0.057 |        0.052 |        0.109
       0.057 |        0.051 |        0.108
       0.072 |        0.054 |        0.126
       0.056 |        0.051 |        0.107
       0.056 |        0.052 |        0.108
       0.055 |        0.037 |        0.092
       0.057 |        0.049 |        0.106
       0.056 |        0.045 |        0.101
       0.056 |        0.032 |        0.088
       0.056 |        0.036 |        0.092
       0.055 |        0.037 |        0.092
       0.086 |        0.052 |        0.138
       0.057 |        0.045 |        0.102
       0.067 |        0.039 |        0.106
       0.055 |        0.176 |        0.231
       0.055 |        0.041 |        0.097
       0.055 |        0.032 |        0.087
       0.055 |        0.039 |        0.094
       0.055 |        0.047 |        0.103
       0.058 |        0.044 |        0.102
       0.056 |        0.038 |        0.093
       0.056 |        0.037 |        0.093
       0.081 |        0.034 |        0.115
       0.056 |        0.034 |        0.090
       0.055 |        0.049 |        0.104
       0.071 |        0.047 |        0.118
       0.054 |        0.050 |        0.104
       0.082 |        0.052 |        0.134
       0.055 |        0.037 |        0.093
       0.056 |        0.226 |        0.282
       0.070 |        0.036 |        0.106
       0.056 |        0.052 |        0.108
       0.054 |        0.036 |        0.091
       0.055 |        0.051 |        0.106
       0.078 |        0.052 |        0.130
       0.056 |        0.033 |        0.089
       0.055 |        0.040 |        0.094
       0.056 |        0.036 |        0.092
       0.055 |        0.050 |        0.105
       0.055 |        0.033 |        0.089
       0.055 |        0.043 |        0.098
       0.055 |        0.039 |        0.094
       0.072 |        0.057 |        0.129
       0.072 |        0.057 |        0.129
       0.072 |        0.061 |        0.133
       0.071 |        0.183 |        0.255
       0.056 |        0.039 |        0.095
       0.091 |        0.056 |        0.147
       0.090 |        0.050 |        0.139
       0.055 |        0.044 |        0.099
       0.056 |        0.040 |        0.096
       0.056 |        0.034 |        0.090
       0.055 |        0.050 |        0.105
       0.054 |        0.052 |        0.107
       0.055 |        0.037 |        0.092
       0.055 |        0.041 |        0.097
       0.079 |        0.048 |        0.127
       0.066 |        0.056 |        0.122
       0.056 |        0.034 |        0.090
       0.072 |        0.061 |        0.133
       0.073 |        0.047 |        0.119
       0.103 |        0.049 |        0.152
       0.100 |        0.044 |        0.144
       0.073 |        0.047 |        0.120
       0.072 |        0.058 |        0.129
       0.071 |        0.061 |        0.132
       0.074 |        0.047 |        0.120
       0.072 |        0.059 |        0.131
       0.072 |        0.056 |        0.129
       0.056 |        0.037 |        0.093
       0.072 |        0.042 |        0.114
       0.056 |        0.046 |        0.102
       0.058 |        0.045 |        0.103
       0.056 |        0.053 |        0.109
       0.083 |        0.052 |        0.135
       0.071 |        0.048 |        0.120
       0.072 |        0.060 |        0.131
       0.075 |        0.031 |        0.106
       0.055 |        0.044 |        0.100
       0.056 |        0.045 |        0.100
       0.055 |        0.046 |        0.100
       0.057 |        0.038 |        0.094
       0.055 |        0.050 |        0.105
       0.058 |        0.062 |        0.119
       0.073 |        0.045 |        0.119
       0.072 |        0.145 |        0.217
       0.105 |        0.052 |        0.158
       0.126 |        0.038 |        0.164
       0.073 |        0.052 |        0.125
       0.055 |        0.047 |        0.102
       0.055 |        0.035 |        0.089
       0.057 |        0.039 |        0.096
       0.056 |        0.052 |        0.108
       0.056 |        0.053 |        0.109
       0.056 |        0.031 |        0.087
       0.056 |        0.045 |        0.101
       0.073 |        0.047 |        0.120
       0.071 |        0.049 |        0.120
       0.071 |        0.057 |        0.128
       0.072 |        0.059 |        0.131
       0.072 |        0.033 |        0.105
       0.056 |        0.043 |        0.099
       0.071 |        0.041 |        0.112
       0.058 |        0.052 |        0.109
       0.072 |        0.042 |        0.113
       0.055 |        0.032 |        0.088
       0.075 |        0.047 |        0.123
       0.056 |        0.044 |        0.101
       0.057 |        0.053 |        0.110
       0.070 |        0.047 |        0.117
       0.056 |        0.037 |        0.092
       0.055 |        0.042 |        0.097
       0.056 |        0.048 |        0.104
       0.056 |        0.042 |        0.098
       0.056 |        0.068 |        0.124
       0.055 |        0.046 |        0.102
       0.055 |        0.046 |        0.101
       0.089 |        0.043 |        0.132
       0.055 |        0.050 |        0.106
       0.072 |        0.044 |        0.116
       0.056 |        0.037 |        0.092
       0.122 |        0.052 |        0.174
       0.056 |        0.050 |        0.107
       0.066 |        0.038 |        0.104
       0.054 |        0.056 |        0.111
       0.056 |        0.071 |        0.127
       0.054 |        0.045 |        0.099
       0.081 |        0.042 |        0.123
       0.055 |        0.054 |        0.108
       0.078 |        0.056 |        0.134
       0.055 |        0.064 |        0.120
       0.063 |        0.040 |        0.103
       0.055 |        0.046 |        0.101
       0.055 |        0.059 |        0.114
       0.054 |        0.043 |        0.097
       0.057 |        0.053 |        0.110
       0.083 |        0.042 |        0.124
       0.056 |        0.047 |        0.102
       0.078 |        0.033 |        0.112
       0.054 |        0.041 |        0.095
       0.081 |        0.036 |        0.117
       0.055 |        0.218 |        0.273
       0.054 |        0.050 |        0.104
       0.054 |        0.036 |        0.090
       0.055 |        0.040 |        0.095
       0.055 |        0.052 |        0.108
       0.071 |        0.059 |        0.130
       0.072 |        0.048 |        0.120
       0.074 |        0.042 |        0.116
       0.108 |        0.050 |        0.158
       0.139 |        0.054 |        0.193
       0.072 |        0.053 |        0.125
       0.056 |        0.043 |        0.099
       0.055 |        0.050 |        0.105
       0.118 |        0.043 |        0.161
       0.056 |        0.038 |        0.093
       0.055 |        0.042 |        0.097
       0.054 |        0.038 |        0.092
       0.073 |        0.055 |        0.128
       0.072 |        0.056 |        0.128
       0.072 |        0.071 |        0.143
       0.072 |        0.051 |        0.123
       0.057 |        0.045 |        0.101
       0.056 |        0.048 |        0.104
       0.057 |        0.043 |        0.100
       0.056 |        0.056 |        0.112
       0.054 |        0.038 |        0.092
       0.078 |        0.038 |        0.116
       0.057 |        0.036 |        0.093
       0.078 |        0.037 |        0.114
       0.055 |        0.037 |        0.092
       0.057 |        0.035 |        0.092
       0.056 |        0.032 |        0.088
       0.055 |        0.040 |        0.095
       0.071 |        0.046 |        0.118
       0.072 |        0.044 |        0.116
       0.072 |        0.047 |        0.119
       0.071 |        0.059 |        0.130
       0.057 |        0.036 |        0.093
       0.056 |        0.043 |        0.098
       0.059 |        0.037 |        0.095
       0.072 |        0.047 |        0.119
       0.056 |        0.044 |        0.100
       0.014 |        0.034 |        0.048
       0.071 |        0.051 |        0.122
       0.056 |        0.049 |        0.105
       0.056 |        0.311 |        0.367
       0.087 |        0.045 |        0.132
       0.072 |        0.054 |        0.125
       0.074 |        0.056 |        0.130
       0.058 |        0.040 |        0.097
       0.075 |        0.059 |        0.134
       0.056 |        0.048 |        0.105
       0.056 |        0.043 |        0.098
       0.055 |        0.044 |        0.099
       0.056 |        0.034 |        0.090
       0.083 |        0.047 |        0.130
       0.055 |        0.036 |        0.092
       0.056 |        0.053 |        0.109
       0.055 |        0.032 |        0.086
       0.056 |        0.042 |        0.097
       0.055 |        0.040 |        0.095
       0.055 |        0.040 |        0.095
       0.073 |        0.052 |        0.125
       0.071 |        0.052 |        0.123
       0.055 |        0.046 |        0.102
       0.056 |        0.036 |        0.091
       0.056 |        0.033 |        0.089
       0.054 |        0.031 |        0.085
       0.075 |        0.054 |        0.128
       0.055 |        0.039 |        0.094
       0.057 |        0.036 |        0.092
       0.055 |        0.033 |        0.087
       0.073 |        0.058 |        0.132
       0.072 |        0.062 |        0.134
       0.071 |        0.053 |        0.124
       0.071 |        0.057 |        0.129
       0.056 |        0.050 |        0.106
       0.055 |        0.044 |        0.100
       0.088 |        0.051 |        0.139
       0.054 |        0.044 |        0.098
       0.079 |        0.049 |        0.127
       0.130 |        0.043 |        0.173
       0.093 |        0.040 |        0.133
       0.026 |        0.033 |        0.059
       0.056 |        0.048 |        0.104
       0.055 |        0.053 |        0.108
       0.056 |        0.052 |        0.107
       0.055 |        0.057 |        0.112
       0.072 |        0.043 |        0.115
       0.071 |        0.051 |        0.122
       0.072 |        0.045 |        0.116
       0.055 |        0.037 |        0.092
       0.055 |        0.050 |        0.105
       0.055 |        0.035 |        0.090
       0.056 |        0.043 |        0.099
       0.056 |        0.046 |        0.102
       0.056 |        0.050 |        0.106
       0.074 |        0.034 |        0.108
       0.056 |        0.042 |        0.098
       0.055 |        0.032 |        0.087
       0.056 |        0.040 |        0.096
       0.075 |        0.239 |        0.314
       0.056 |        0.051 |        0.107
       0.056 |        0.047 |        0.103
       0.054 |        0.041 |        0.095
       0.055 |        0.048 |        0.103
       0.055 |        0.052 |        0.107
       0.056 |        0.041 |        0.097
       0.055 |        0.036 |        0.091
       0.056 |        0.041 |        0.096
       0.055 |        0.042 |        0.097
       0.056 |        0.037 |        0.094
       0.082 |        0.050 |        0.133
       0.055 |        0.038 |        0.093
       0.056 |        0.047 |        0.103
       0.055 |        0.033 |        0.088
       0.057 |        0.036 |        0.093
       0.073 |        0.056 |        0.128
       0.071 |        0.041 |        0.113
       0.071 |        0.045 |        0.116
       0.071 |        0.047 |        0.119
       0.056 |        0.043 |        0.099
       0.056 |        0.043 |        0.099
       0.056 |        0.041 |        0.097
       0.079 |        0.044 |        0.123
       0.055 |        0.053 |        0.107
       0.054 |        0.040 |        0.094
       0.055 |        0.203 |        0.258
       0.056 |        0.051 |        0.107
       0.056 |        0.045 |        0.100
       0.069 |        0.039 |        0.109
       0.071 |        0.038 |        0.109
       0.055 |        0.041 |        0.096
       0.081 |        0.035 |        0.116
       0.073 |        0.055 |        0.128
       0.072 |        0.059 |        0.131
       0.072 |        0.052 |        0.123
       0.073 |        0.057 |        0.129
       0.092 |        0.047 |        0.138
       0.074 |        0.035 |        0.109
       0.074 |        0.062 |        0.136
       0.071 |        0.059 |        0.130
       0.072 |        0.053 |        0.125
       0.074 |        0.062 |        0.136
       0.072 |        0.059 |        0.132
       0.056 |        0.048 |        0.105
       0.057 |        0.053 |        0.110
       0.056 |        0.034 |        0.091
       0.056 |        0.048 |        0.103
       0.062 |        0.042 |        0.104
       0.057 |        0.036 |        0.093
       0.057 |        0.052 |        0.109
       0.057 |        0.042 |        0.099
       0.055 |        0.047 |        0.102
       0.055 |        0.052 |        0.106
       0.055 |        0.174 |        0.228
       0.055 |        0.042 |        0.097
       0.086 |        0.039 |        0.124
       0.057 |        0.042 |        0.099
       0.056 |        0.032 |        0.088
       0.054 |        0.032 |        0.087
       0.072 |        0.042 |        0.114
       0.072 |        0.044 |        0.115
       0.072 |        0.060 |        0.132
       0.086 |        0.054 |        0.140
       0.075 |        0.042 |        0.117
       0.056 |        0.035 |        0.091
       0.056 |        0.049 |        0.105
       0.055 |        0.197 |        0.252
       0.073 |        0.045 |        0.118
       0.072 |        0.046 |        0.118
       0.070 |        0.048 |        0.118
       0.072 |        0.053 |        0.125
       0.056 |        0.036 |        0.092
       0.071 |        0.053 |        0.125
       0.056 |        0.041 |        0.097
       0.056 |        0.036 |        0.092
       0.066 |        0.043 |        0.109
       0.058 |        0.055 |        0.113
       0.054 |        0.041 |        0.095
       0.056 |        0.055 |        0.111
       0.055 |        0.045 |        0.100
       0.055 |        0.170 |        0.225
       0.055 |        0.042 |        0.097
       0.055 |        0.046 |        0.102
       0.054 |        0.042 |        0.097
       0.066 |        0.054 |        0.120
       0.056 |        0.038 |        0.093
       0.055 |        0.051 |        0.106
       0.055 |        0.055 |        0.110
       0.056 |        0.045 |        0.101
       0.067 |        0.034 |        0.101
       0.057 |        0.047 |        0.104
       0.056 |        0.041 |        0.096
       0.054 |        0.040 |        0.094
       0.075 |        0.031 |        0.106
       0.080 |        0.044 |        0.125
       0.055 |        0.040 |        0.094
       0.054 |        0.044 |        0.098
       0.055 |        0.041 |        0.095
       0.055 |        0.047 |        0.102
       0.076 |        0.139 |        0.216
       0.055 |        0.057 |        0.112
       0.058 |        0.046 |        0.104
       0.056 |        0.036 |        0.093
       0.058 |        0.046 |        0.104
       0.055 |        0.050 |        0.105
       0.055 |        0.040 |        0.095
       0.056 |        0.032 |        0.087
       0.057 |        0.043 |        0.099
       0.054 |        0.034 |        0.089
       0.055 |        0.048 |        0.103
       0.057 |        0.045 |        0.102
       0.055 |        0.034 |        0.089
       0.055 |        0.046 |        0.101
       0.071 |        0.040 |        0.111
       0.055 |        0.053 |        0.108
       0.056 |        0.031 |        0.087
       0.055 |        0.037 |        0.093
       0.072 |        0.053 |        0.126
       0.072 |        0.048 |        0.120
       0.084 |        0.038 |        0.121
       0.054 |        0.034 |        0.089
       0.073 |        0.046 |        0.119
       0.056 |        0.043 |        0.099
       0.064 |        0.032 |        0.096
       0.055 |        0.196 |        0.251
       0.057 |        0.035 |        0.092
       0.055 |        0.038 |        0.093
       0.071 |        0.043 |        0.114
       0.073 |        0.042 |        0.115
       0.072 |        0.046 |        0.118
       0.073 |        0.045 |        0.117
       0.071 |        0.045 |        0.117
       0.073 |        0.052 |        0.125
       0.072 |        0.059 |        0.131
       0.073 |        0.045 |        0.118
       0.072 |        0.049 |        0.121
       0.056 |        0.038 |        0.094
       0.090 |        0.058 |        0.148
       0.056 |        0.053 |        0.110
       0.055 |        0.058 |        0.113
       0.055 |        0.054 |        0.109
       0.057 |        0.039 |        0.096
       0.028 |        0.034 |        0.062
       0.082 |        0.041 |        0.123
       0.121 |        0.036 |        0.157
       0.054 |        0.044 |        0.099
       0.055 |        0.035 |        0.090
       0.055 |        0.048 |        0.103
       0.054 |        0.040 |        0.094
       0.067 |        0.047 |        0.114
       0.071 |        0.046 |        0.116
       0.057 |        0.047 |        0.104
       0.071 |        0.048 |        0.119
       0.071 |        0.055 |        0.126
       0.072 |        0.050 |        0.122
       0.072 |        0.048 |        0.120
       0.056 |        0.038 |        0.094
       0.072 |        0.053 |        0.126
       0.056 |        0.046 |        0.101
       0.056 |        0.038 |        0.094
       0.076 |        0.048 |        0.125
       0.055 |        0.045 |        0.099
       0.056 |        0.039 |        0.095
       0.056 |        0.047 |        0.103
       0.071 |        0.043 |        0.115
       0.055 |        0.040 |        0.095
       0.087 |        0.055 |        0.142
       0.055 |        0.038 |        0.093
       0.056 |        0.039 |        0.096
       0.055 |        0.042 |        0.096
       0.056 |        0.151 |        0.206
       0.056 |        0.036 |        0.092
       0.055 |        0.051 |        0.106
       0.055 |        0.036 |        0.091
       0.057 |        0.038 |        0.095
       0.056 |        0.044 |        0.099
       0.072 |        0.045 |        0.117
       0.073 |        0.042 |        0.115
       0.072 |        0.042 |        0.114
       0.072 |        0.052 |        0.124
       0.071 |        0.045 |        0.116
       0.073 |        0.053 |        0.126
       0.057 |        0.050 |        0.107
       0.056 |        0.050 |        0.106
       0.055 |        0.035 |        0.090
       0.055 |        0.052 |        0.107
       0.055 |        0.057 |        0.112
       0.072 |        0.056 |        0.128
       0.057 |        0.045 |        0.102
       0.118 |        0.037 |        0.155
       0.054 |        0.033 |        0.088
       0.055 |        0.044 |        0.099
       0.055 |        0.038 |        0.093
       0.055 |        0.046 |        0.101
       0.054 |        0.050 |        0.104
       0.077 |        0.036 |        0.113
       0.057 |        0.044 |        0.100
       0.056 |        0.180 |        0.236
       0.055 |        0.045 |        0.101
       0.071 |        0.043 |        0.114
       0.056 |        0.050 |        0.106
       0.071 |        0.066 |        0.137
       0.085 |        0.032 |        0.117
       0.056 |        0.038 |        0.094
       0.055 |        0.050 |        0.105
       0.073 |        0.048 |        0.121
       0.071 |        0.051 |        0.122
       0.055 |        0.050 |        0.106
       0.102 |        0.053 |        0.155
       0.059 |        0.043 |        0.101
       0.057 |        0.041 |        0.099
       0.055 |        0.047 |        0.102
       0.055 |        0.045 |        0.100
       0.056 |        0.054 |        0.110
       0.055 |        0.046 |        0.101
       0.055 |        0.042 |        0.097
       0.072 |        0.044 |        0.115
       0.071 |        0.052 |        0.124
       0.103 |        0.048 |        0.151
       0.055 |        0.041 |        0.097
       0.058 |        0.051 |        0.109
       0.056 |        0.038 |        0.094
       0.055 |        0.042 |        0.097
       0.072 |        0.047 |        0.119
       0.055 |        0.033 |        0.088
       0.057 |        0.050 |        0.108
       0.071 |        0.054 |        0.125
       0.071 |        0.047 |        0.117
       0.056 |        0.048 |        0.103
       0.056 |        0.033 |        0.089
       0.055 |        0.049 |        0.104
       0.082 |        0.036 |        0.118
       0.055 |        0.040 |        0.095
       0.078 |        0.040 |        0.118
       0.054 |        0.046 |        0.101
       0.054 |        0.034 |        0.088
       0.068 |        0.051 |        0.120
       0.054 |        0.256 |        0.310
       0.055 |        0.041 |        0.097
       0.055 |        0.050 |        0.105
       0.056 |        0.051 |        0.108
       0.056 |        0.033 |        0.089
       0.072 |        0.062 |        0.135
       0.072 |        0.045 |        0.117
       0.077 |        0.061 |        0.139
       0.071 |        0.047 |        0.119
       0.072 |        0.060 |        0.132
       0.071 |        0.041 |        0.112
       0.057 |        0.035 |        0.092
       0.072 |        0.042 |        0.115
       0.056 |        0.039 |        0.095
       0.073 |        0.052 |        0.125
       0.072 |        0.041 |        0.113
       0.072 |        0.054 |        0.126
       0.056 |        0.040 |        0.096
       0.100 |        0.047 |        0.146
       0.056 |        0.050 |        0.106
       0.058 |        0.061 |        0.119
